age,bought_insurance
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,1
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
18,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
19,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
22,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
23,0
